4228,2,1,2,3,2,1,3,1,1
3627,4,2,4,1,3,4,1,4,3
10115,1,4,3,2,1,3,4,2,2
1215,3,3,1,4,4,2,2,3,4
3646,4,4,4,3,2,3,1,3,3
7903,3,1,3,4,3,2,2,2,2
9382,1,3,1,1,4,4,4,4,4
4972,2,2,2,2,1,1,3,1,1
8065,4,3,1,3,2,4,3,4,4
7710,2,2,2,4,4,2,4,2,1
3899,1,4,3,1,1,1,2,1,2
4230,3,1,4,2,3,3,1,3,3
3277,1,1,1,3,4,2,1,2,4
7896,4,2,4,1,3,3,3,3,1
5999,2,4,3,4,1,1,4,1,2
2750,3,3,2,2,2,4,2,4,3
6417,4,2,3,3,4,1,4,4,2
3618,1,4,1,1,1,4,1,2,3
5988,3,3,4,2,3,2,2,3,1
2178,2,1,2,4,2,3,3,1,4
1551,1,4,1,3,3,4,3,3,2
6237,3,3,4,4,1,3,2,4,4
6251,2,2,2,1,4,2,4,1,3
10381,4,1,3,2,2,1,1,2,1
7108,3,3,1,2,3,4,3,2,1
4257,4,1,2,3,2,1,1,4,4
7019,2,2,3,4,1,2,4,3,3
5967,1,4,4,1,4,3,2,1,2
6579,3,1,1,3,2,1,1,4,1
9436,4,3,3,2,3,2,4,1,2
8988,2,2,2,4,1,4,2,2,4
5001,1,4,4,1,4,3,3,3,3
2733,3,1,3,4,3,4,4,4,2
10572,4,4,4,3,1,3,2,3,3
4503,2,3,1,1,2,2,3,1,4
7908,1,2,2,2,4,1,1,2,1
9683,2,3,4,4,2,4,2,2,3
6694,3,2,2,1,1,3,1,3,1
1685,4,4,1,3,4,1,4,4,4
7949,1,1,3,2,3,2,3,1,2
2480,1,1,1,2,4,1,1,1,4
7103,2,3,4,1,2,3,3,4,3
9688,3,2,2,3,3,4,4,3,2
5515,4,4,3,4,1,2,2,2,1
3999,3,4,1,1,1,3,2,1,3
1350,1,2,3,2,3,2,4,4,1
8894,4,3,2,4,2,1,3,3,2
7171,2,1,4,3,4,4,1,2,4
8774,2,2,1,4,2,3,1,3,4
5928,3,1,2,2,3,2,4,1,3
4528,4,4,3,3,4,1,2,2,2
1270,1,3,4,1,1,4,3,4,1
10164,4,2,1,3,3,3,2,4,1
4309,2,3,2,1,1,4,1,2,2
3454,2,4,3,4,2,1,4,3,3
1150,3,1,4,2,4,2,3,1,4
6473,4,3,1,3,3,2,2,3,1
1488,2,1,2,4,4,3,1,1,3
7833,3,2,3,1,1,4,4,2,2
1782,4,4,4,2,2,1,3,4,4
