4228,2,2,4,4,1,1,4,4,2,3
3627,4,4,2,3,3,4,2,1,3,4
10115,1,1,3,1,2,2,3,2,1,2
1215,3,3,1,2,4,3,1,3,4,1
3646,4,2,3,1,4,1,2,4,3,2
7903,2,3,2,4,3,2,1,2,1,3
9382,3,1,1,3,1,3,3,1,2,1
4972,1,4,4,2,2,4,4,3,4,4
8065,3,4,4,3,2,1,2,3,2,1
7710,1,1,1,1,1,2,4,4,4,2
3899,2,3,2,4,4,3,1,1,3,4
4230,4,2,3,2,3,4,3,2,1,3
3277,1,4,3,4,2,2,3,3,1,3
7896,2,2,2,3,4,3,4,4,3,1
5999,4,3,1,2,1,4,1,2,2,4
2750,3,1,4,1,3,1,2,1,4,2
6417,4,4,3,2,2,4,4,2,4,4
3618,3,2,4,4,4,2,2,1,2,1
5988,1,1,1,1,3,3,1,4,1,2
2178,2,3,2,3,1,1,3,3,3,3
1551,2,1,2,1,4,2,4,4,4,3
6237,3,3,4,4,3,4,3,1,2,2
6251,4,2,1,3,2,1,1,2,3,1
10381,1,4,3,2,1,3,2,3,1,4
7108,2,2,1,4,2,4,4,4,4,1
4257,1,3,4,1,4,1,1,2,3,4
7019,3,4,2,2,3,2,2,1,1,2
5967,4,1,3,3,1,3,3,3,2,3
6579,1,1,1,2,3,1,2,1,4,1
9436,4,4,3,3,1,2,1,2,2,2
8988,3,2,2,4,2,3,4,3,3,3
5001,2,3,4,1,4,4,3,4,1,4
2733,1,1,1,1,3,1,4,4,3,1
10572,3,3,2,3,2,3,2,3,4,3
4503,2,4,3,4,4,4,3,2,1,4
7908,4,2,4,2,1,2,1,1,2,2
9683,2,2,1,2,2,4,4,1,1,1
6694,3,4,3,3,3,1,2,4,2,3
1685,4,3,2,1,1,3,3,2,4,4
7949,1,1,4,4,4,2,1,3,3,2
2480,2,3,1,2,4,3,2,1,1,1
7103,1,2,2,1,3,4,4,4,3,2
9688,4,1,3,4,1,2,1,3,2,4
5515,3,4,4,3,2,1,3,2,4,3
3999,3,2,4,4,3,3,4,3,2,2
1350,1,3,1,1,2,4,3,1,4,4
8894,2,4,3,3,4,1,1,4,3,3
7171,4,1,2,2,1,2,2,2,1,1
8774,3,2,1,2,4,3,3,4,2,4
5928,4,3,2,4,2,2,1,1,3,1
4528,2,4,3,1,1,1,4,2,1,2
1270,1,1,4,3,3,4,2,3,4,3
10164,3,3,3,4,3,2,4,3,2,3
4309,1,2,4,3,1,3,1,2,1,4
3454,4,1,2,2,2,1,3,1,3,1
1150,2,4,1,1,4,4,2,4,4,2
6473,4,4,1,2,3,4,3,2,2,2
1488,1,2,4,1,2,3,1,3,1,1
7833,3,1,2,4,4,2,2,4,4,4
1782,2,3,3,3,1,1,4,1,3,3
