4228,3,1,1,3,3,2,1,2,4
3627,1,3,4,4,4,1,2,3,3
10115,2,2,2,1,2,4,4,1,1
1215,4,4,3,2,1,3,3,4,2
3646,2,2,1,1,4,4,3,2,3
7903,1,4,3,4,1,3,1,1,4
9382,3,3,2,2,3,1,4,4,1
4972,4,1,4,3,2,2,2,3,2
8065,3,2,2,1,1,1,1,1,3
7710,4,4,3,2,2,2,4,4,1
3899,2,3,4,3,3,3,2,3,4
4230,1,1,1,4,4,4,3,2,2
3277,4,1,2,2,4,1,2,2,4
7896,3,4,1,4,2,4,1,1,3
5999,2,2,3,1,1,2,4,3,1
2750,1,3,4,3,3,3,3,4,2
6417,2,4,3,3,1,3,1,4,4
3618,4,2,4,4,2,4,2,1,3
5988,3,3,2,2,4,2,3,2,1
2178,1,1,1,1,3,1,4,3,2
1551,4,4,1,1,1,3,1,3,2
6237,2,1,4,4,2,2,2,4,1
6251,1,2,2,2,3,1,4,1,3
10381,3,3,3,3,4,4,3,2,4
7108,2,2,3,3,2,1,2,1,4
4257,3,4,4,4,3,3,4,2,3
7019,4,1,2,1,1,2,1,4,1
5967,1,3,1,2,4,4,3,3,2
6579,2,1,3,1,4,1,2,1,2
9436,4,4,1,3,1,4,1,2,4
8988,1,2,2,2,2,2,4,3,1
5001,3,3,4,4,3,3,3,4,3
2733,4,2,4,4,1,2,1,1,4
10572,1,4,3,3,2,4,3,4,1
4503,3,3,2,2,3,1,2,2,3
7908,2,1,1,1,4,3,4,3,2
9683,1,1,3,2,2,1,2,2,4
6694,4,2,1,1,3,4,3,4,1
1685,2,4,4,4,1,2,4,3,2
7949,3,3,2,3,4,3,1,1,3
2480,1,1,4,2,2,1,2,2,1
7103,3,3,1,3,4,4,1,4,3
9688,4,4,3,1,3,2,3,1,4
5515,2,2,2,4,1,3,4,3,2
3999,1,3,1,1,4,4,4,1,1
1350,3,1,3,2,2,1,2,2,2
8894,2,4,4,3,1,2,1,3,3
7171,4,2,2,4,3,3,3,4,4
8774,2,1,2,4,2,1,3,4,4
5928,1,2,1,1,4,2,2,3,1
4528,4,3,4,2,3,4,4,2,2
1270,3,4,3,3,1,3,1,1,3
10164,3,3,3,4,1,2,3,3,4
4309,4,2,1,2,3,4,2,4,2
3454,2,1,2,3,2,3,4,2,3
1150,1,4,4,1,4,1,1,1,1
6473,2,1,4,3,4,1,4,4,4
1488,4,2,3,2,2,2,3,1,3
7833,1,4,2,4,3,4,2,2,1
1782,3,3,1,1,1,3,1,3,2
